video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,42,336.7,344.72,8.02,https://youtu.be/-pjWKo7zgrs?t=337s,melt_wax,process,1,0.5,Melting the wax.,Th Pk 7 re is td Me iy gy pc ny Candie: tee! the,1,0.0,0.048,0.19,0.532,0.103,"#c0b9a8,#7f7362,#322d1d",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,24,192.48,200.51,8.03,https://youtu.be/0gk3NsmJa7k?t=192s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,Wall Bose Ker,1,0.0,0.173,0.044,0.371,0.1,"#655745,#978777,#3a2f20",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,25,200.51,208.53,8.02,https://youtu.be/0gk3NsmJa7k?t=201s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,wr TS Gale,1,0.0,0.133,0.045,0.37,0.095,"#6a5a48,#978573,#3b2e20",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,26,208.53,216.55,8.02,https://youtu.be/0gk3NsmJa7k?t=209s,melt_wax,process,1,0.5,Pouring amber wax into the jars.,,0,0.0,0.103,0.23,0.353,0.095,"#2f2924,#b1a193,#685b4f",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,27,216.55,224.57,8.02,https://youtu.be/0gk3NsmJa7k?t=217s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,4,0,0.0,0.073,0.0,0.397,0.073,"#342921,#7c6c5d,#bead9e",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,28,224.57,232.59,8.02,https://youtu.be/0gk3NsmJa7k?t=225s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,hun Ex IY,1,0.0,0.11,0.049,0.393,0.085,"#342d24,#6e6a62,#baa898",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,29,232.59,240.61,8.02,https://youtu.be/0gk3NsmJa7k?t=233s,melt_wax,process,1,0.5,Pouring amber wax into the jars.,an,0,0.0,0.088,0.096,0.378,0.079,"#332b27,#7d6e60,#bca999",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,30,240.61,248.63,8.02,https://youtu.be/0gk3NsmJa7k?t=241s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,ines ant be,1,0.0,0.087,0.066,0.39,0.082,"#332922,#7e6d5d,#beaa99",1,,
0gk3NsmJa7k,https://www.youtube.com/watch?v=0gk3NsmJa7k,Make Candles with me | ❄️Winter Wonderland Edition ❄️,794.0,storyboard,31,248.63,256.65,8.02,https://youtu.be/0gk3NsmJa7k?t=249s,melt_wax,process,1,0.5,Melting amber wax in the metal melter/pitcher (winter batch).,ee ns NS aege,1,0.0,0.15,0.172,0.411,0.102,"#7a6751,#3b3026,#b9a99b",1,,
1V3hfxo7OtE,https://www.youtube.com/watch?v=1V3hfxo7OtE,Candle Making | How to Make Scented Candles,508.0,storyboard,30,238.12,246.06,7.94,https://youtu.be/1V3hfxo7OtE?t=238s,melt_wax,process,1,0.65,'Melt the Wax' card + pot on stove,MTT Hunn Cae zs rT pe,1,0.0,0.184,0.0,0.427,0.069,"#312b2d,#b2aca1,#706c68",1,,
