video_id,video_url,video_title,video_duration_s,source,window_index,start_s,end_s,duration_s,window_url,action_label,phase,is_step,confidence,description,ocr_text,has_caption,face_score,text_score,motion,brightness,colorfulness,dominant_colors,keep,filter_reason,validation_flags
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,53,424.88,432.9,8.02,https://youtu.be/-pjWKo7zgrs?t=425s,decorate_finish,finish,1,0.5,Demoulding the rose / lidding the jar.,,0,0.0,0.013,0.171,0.589,0.137,"#694f40,#d4d0c9,#af8979",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,54,432.9,440.92,8.02,https://youtu.be/-pjWKo7zgrs?t=433s,decorate_finish,finish,1,0.5,Demoulding the rose / lidding the jar.,"tees, rn ee Nie tid, but thought it was Cule. me placing hem hey stay if place.",1,0.0,0.023,0.253,0.557,0.108,"#c5c1b9,#4b2c24,#907d75",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,55,440.92,448.93,8.01,https://youtu.be/-pjWKo7zgrs?t=441s,decorate_finish,finish,1,0.5,Demoulding the rose / lidding the jar.,,0,0.0,0.025,0.0,0.558,0.111,"#c7c2bb,#9f8578,#583e38",1,,
-pjWKo7zgrs,https://www.youtube.com/watch?v=-pjWKo7zgrs,DIY Candle Jars with Jesmonite and Boowannite | Nicole Molds jar mold diy handmade gift ideas,481.0,storyboard,56,448.93,456.95,8.02,https://youtu.be/-pjWKo7zgrs?t=449s,decorate_finish,finish,1,0.5,Demoulding the rose / lidding the jar.,,0,0.0,0.016,0.297,0.511,0.082,"#91877b,#514136,#cac4ba",1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,41,327.13,335.11,7.98,https://youtu.be/0HfXl244xc4?t=327s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).",,0,0.0,0.003,0.0,0.486,0.206,"#7b684b,#a9ab95,#f2c941",1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,42,335.11,343.09,7.98,https://youtu.be/0HfXl244xc4?t=335s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).",,0,0.0,0.004,0.011,0.472,0.207,"#776548,#a7aa93,#f2c942",1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,43,343.09,351.06,7.97,https://youtu.be/0HfXl244xc4?t=343s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).",,0,0.0,0.004,0.01,0.473,0.207,"#766447,#a6a791,#f2c941",1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,44,351.06,359.04,7.98,https://youtu.be/0HfXl244xc4?t=351s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).",,0,0.0,0.01,0.0,0.48,0.209,"#826e4e,#c1b376,#322715",1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,45,359.04,367.02,7.98,https://youtu.be/0HfXl244xc4?t=359s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).",,0,0.0,0.006,0.111,0.507,0.234,"#8a6d3e,#baa772,#120f0c",1,,
0HfXl244xc4,https://www.youtube.com/watch?v=0HfXl244xc4,Sinkholes in Candles? Here’s How to Fix Them FAST!,750.0,storyboard,46,367.02,375.0,7.98,https://youtu.be/0HfXl244xc4?t=367s,decorate_finish,finish,1,0.5,"Overhead: fixing candle sinkholes (poking holes, heat-gun on the top).",,0,0.0,0.004,0.0,0.499,0.224,"#9e9171,#765e37,#f3c940",1,,
